filename,watyr,pre_drain,post_drain
mountarrowsmith,2019,9/27/2019 12:00,9/27/2019 14:00
mountarrowsmith,2020,2/10/2020 13:00,2/10/2020 15:00
mountarrowsmith,2021,10/14/2020 8:00,10/14/2020 10:00
mountarrowsmith,2021,3/9/2021 11:00,3/9/2021 12:00
mountarrowsmith,2021,9/15/2021 14:00,9/15/2021 15:00
mountarrowsmith,2022,11/17/2021 13:00,11/17/2021 16:00
mountarrowsmith,2022,6/23/2022 16:00,6/23/2022 17:00
mountarrowsmith,2023,5/11/2023 14:00,5/11/2023 15:00
mountarrowsmith,2024,10/13/2023 10:00,10/13/2023 12:00
mountarrowsmith,2024,4/5/2024 11:00,4/5/2024 12:00
mountarrowsmith,2025,12/12/2024 14:00,12/12/2024 15:00
tetrahedron,2018,2/19/2018 23:00,2/20/2018 1:00
tetrahedron,2018,6/19/2018 16:00,6/19/2018 18:00
tetrahedron,2019,10/3/2018 16:00,10/3/2018 18:00
tetrahedron,2019,2/6/2019 21:00,2/6/2019 22:00
tetrahedron,2020,2/18/2020 22:00,2/18/2020 23:00
tetrahedron,2020,5/29/2020 9:00,5/29/2020 11:00
tetrahedron,2021,10/14/2020 17:00,10/14/2020 19:00
tetrahedron,2021,3/12/2021 17:00,3/12/2021 19:00
tetrahedron,2022,11/16/2021 21:00,11/16/2021 23:00
tetrahedron,2022,4/7/2022 18:00,4/7/2022 21:00
tetrahedron,2023,11/2/2022 17:00,11/2/2022 19:00
tetrahedron,2023,5/11/2023 21:00,5/11/2023 22:00
tetrahedron,2024,1/15/2024 13:00,1/15/2024 15:00
tetrahedron,2024,4/4/2024 14:00,4/4/2024 15:00
tetrahedron,2025,10/24/2024 9:00,10/24/2024 10:00
tetrahedron,2025,4/3/2024 14:00,4/3/2024 15:00
upperrussell,2018,11/3/2017 13:00,11/3/2017 15:00
upperrussell,2018,12/7/2017 14:00,12/7/2017 16:00
upperrussell,2020,10/31/2019 12:00,10/31/2019 14:00
upperrussell,2020,5/8/2020 11:00,5/8/2020 13:00
upperrussell,2021,10/2/2020 14:00,10/2/2020 16:00
upperrussell,2021,3/12/2021 9:00,3/12/2021 11:00
upperrussell,2022,10/20/2021 8:00,10/20/2021 10:00
upperrussell,2024,2/15/2024 16:00,2/15/2024 19:00
,,,
,,,
steph6,2017,11/15/2016 10:00,11/15/2016 12:00
steph6,2017,1/30/2017 12:00,1/30/2017 14:00
steph6,2017,5/17/2017 10:00,5/17/2017 12:00
steph6,2018,10/25/2017 15:00,10/25/2017 17:00
steph6,2018,2/15/2018 12:00,2/15/2018 15:00
steph6,2019,10/16/2018 11:00,11/29/2018 15:00
steph6,2019,7/4/2019 12:00,7/4/2019 14:00
steph6,2020,10/28/2019 10:00,10/28/2019 14:00
steph6,2020,3/5/2020 15:00,3/5/2020 17:00
steph6,2021,3/12/2021 11:00,3/12/2021 13:00
steph6,2022,10/18/2021 14:00,10/18/2021 16:00
steph6,2022,4/8/2022 10:00,4/8/2022 13:00
steph6,2023,1/20/2023 13:00,1/20/2023 15:00
steph6,2024,4/11/2024 15:00,4/11/2024 22:00
steph6,2025,10/21/2024 12:00,10/21/2024 14:00
steph2,2017,11/15/2016 12:00,11/15/2016 14:00
steph2,2017,1/30/2017 13:00,1/31/2017 11:00
steph2,2018,10/26/2017 11:00,10/26/2017 13:00
steph2,2018,2/9/2018 14:00,2/9/2018 15:00
steph2,2018,3/28/2018 12:00,3/28/2018 15:00
steph2,2019,10/18/2018 10:00,10/18/2018 11:00
steph2,2019,1/21/2019 13:00,1/21/2019 15:00
steph2,2019,7/4/2019 12:00,7/4/2019 14:00
steph2,2020,10/29/2019 8:00,10/29/2019 9:00
steph2,2020,3/5/2020 17:00,3/5/2020 18:00
steph2,2020,9/30/2020 8:00,9/30/2020 10:00
steph2,2021,3/10/2021 14:00,3/10/2021 16:00
steph2,2022,10/19/2021 9:00,10/19/2021 11:00
steph2,2022,5/10/2022 15:00,5/10/2022 17:00
steph2,2023,12/17/2022 1:00,2/14/2023 14:00
